,Titles,Genres,Developers,Publishers,ReleaseDate_JP,ReleaseDate_EU,ReleaseDate_NA,TitlesHTML,SearchLinks,HistScrapped,Reviews,LogRegSlope,LogRegIntcpt,InitPrice,MappedGenres,MappedPublishers,MappedDevelopers,ReleaseDate_Agg,Release_Year,Release_Month,Release_Day,Success,SuccessPredict,SuccessPredictProb,SuccessPredictText
2092,Tropico 6,Simulation,Limbic Entertainment,JP: Square EnixWW: Kalypso Media,2019-09-27,2019-09-27,2019-09-27,tropico+6,https://psprices.com/region-us/search/?q=tropico+6&platform=PS4&dlc=hide,True,79.0,-0.0004109991586488032,-0.03308504607323925,59.99,Simulation,LowPublishers,LowDevelopers,2019-09-27,2019.0,9.0,27.0,0,0.0,76.38757082188114,Failure
2094,Trüberbrook,Adventure,btf,Headup Games,2019-10-24,2019-04-17,2019-04-17,trüberbrook,https://psprices.com/region-us/search/?q=trüberbrook&platform=PS4&dlc=hide,True,68.0,-0.001561439501515416,0.03449995568779246,29.99,Adventure,MedPublishers,LowDevelopers,2019-04-17,2019.0,4.0,17.0,1,0.0,81.38795604614954,Failure
2096,TT Isle of Man: Ride on the Edge,Racing,Kylotonn,Bigben Interactive,2018-04-19,2018-03-13,2018-03-13,tt+isle+of+man+ride+on+the+edge,https://psprices.com/region-us/search/?q=tt+isle+of+man+ride+on+the+edge&platform=PS4&dlc=hide,True,64.0,-0.00038167180168263443,-0.10995431648932862,59.99,Sports,HighPublishers,HighDevelopers,2018-03-13,2018.0,3.0,13.0,0,0.0,55.186128450827155,Failure
2101,Twin Robots,Platformer,Ratalaika Games,Ratalaika Games,2017-07-24,2017-10-11,2017-10-11,twin+robots,https://psprices.com/region-us/search/?q=twin+robots&platform=PS4&dlc=hide,True,56.0,-0.0004875122089322443,-0.003903393266191088,4.99,Platformer,MedPublishers,MedDevelopers,2017-10-11,2017.0,10.0,11.0,0,0.0,73.18203725190841,Failure
2104,Typoman,Platformerpuzzle,Brainseed Factory,Brainseed Factory,2017-07-24,2017-02-21,2017-02-21,typoman,https://psprices.com/region-us/search/?q=typoman&platform=PS4&dlc=hide,True,64.0,-0.0005195458160066864,-0.1089559126484611,12.99,Puzzle,LowPublishers,LowDevelopers,2017-02-21,2017.0,2.0,21.0,0,0.0,74.29926465154035,Failure
2106,Ultimate Marvel vs. Capcom 3,Fighting,Capcom / Eighting,Capcom,2016-12-03,2016-12-03,2016-12-03,ultimate+marvel+vs+capcom+3,https://psprices.com/region-us/search/?q=ultimate+marvel+vs+capcom+3&platform=PS4&dlc=hide,True,78.0,-0.00034667724312393357,-0.12890884625892637,24.99,Action,HighPublishers,LowDevelopers,2016-12-03,2016.0,12.0,3.0,0,0.0,67.97120091825562,Failure
2107,Ultra Street Fighter IV,Fighting,Other Ocean Interactive,Capcom,2015-09-04,2015-05-27,2015-05-26,ultra+street+fighter+iv,https://psprices.com/region-us/search/?q=ultra+street+fighter+iv&platform=PS4&dlc=hide,True,75.0,-0.0009468224298396443,0.0017254004203504682,24.99,Action,HighPublishers,MedDevelopers,2015-05-26,2015.0,5.0,26.0,0,0.0,57.16479177288723,Failure
2108,Ultratron,Shoot 'em up,Puppy Games,Curve Digital,2015-05-12,2015-05-12,2015-05-12,ultratron,https://psprices.com/region-us/search/?q=ultratron&platform=PS4&dlc=hide,True,71.0,-0.00019015128272527811,-0.2822543400662859,9.99,Shooter,HighPublishers,MedDevelopers,2015-05-12,2015.0,5.0,12.0,0,0.0,58.85066553539213,Failure
2110,Umbrella Corps,Action,Capcom,Capcom,2016-06-21,2016-06-21,2016-06-21,umbrella+corps,https://psprices.com/region-us/search/?q=umbrella+corps&platform=PS4&dlc=hide,True,35.0,-0.0006099129319290581,-0.19459537355319775,29.99,Action,HighPublishers,HighDevelopers,2016-06-21,2016.0,6.0,21.0,0,1.0,57.59531739926717,Success
2114,Unbox: Newbie's Adventure,"Adventure, platformer",Prospect Games,Sold Out,2017-12-22,2017-07-26,2017-07-25,unbox+newbies+adventure,https://psprices.com/region-us/search/?q=unbox+newbies+adventure&platform=PS4&dlc=hide,True,63.0,7.41195080749111e-05,-0.23809187966021061,29.99,Platformer,LowPublishers,LowDevelopers,2017-07-25,2017.0,7.0,25.0,0,0.0,68.74631544597511,Failure
2115,Uncharted: The Nathan Drake Collection,Action-adventure,Naughty Dog,Sony Computer Entertainment,2015-10-08,2015-10-07,2015-10-09,uncharted+the+nathan+drake+collection,https://psprices.com/region-us/search/?q=uncharted+the+nathan+drake+collection&platform=PS4&dlc=hide,True,85.0,-0.001996598728732053,0.14799578015743237,59.99,Adventure,HighPublishers,HighDevelopers,2015-10-09,2015.0,10.0,9.0,1,0.0,51.470194595058494,Failure
2116,Uncharted 4: A Thief's End,Action-adventure,Naughty Dog,Sony Interactive Entertainment,2016-05-10,2016-05-10,2016-05-10,uncharted+4+a+thiefs+end,https://psprices.com/region-us/search/?q=uncharted+4+a+thiefs+end&platform=PS4&dlc=hide,True,92.0,0.0,0.0,59.99,Adventure,HighPublishers,HighDevelopers,2016-05-10,2016.0,5.0,10.0,0,0.0,60.975749900312316,Failure
2117,Uncharted: The Lost Legacy,Action-adventure,Naughty Dog,Sony Interactive Entertainment,2017-09-14,2017-08-23,2017-08-22,uncharted+the+lost+legacy,https://psprices.com/region-us/search/?q=uncharted+the+lost+legacy&platform=PS4&dlc=hide,True,85.0,-0.0012033982574514704,0.0064404813482484,39.99,Adventure,HighPublishers,HighDevelopers,2017-08-22,2017.0,8.0,22.0,1,0.0,77.69347768472936,Failure
2120,Under Night In-Birth Exe:Latest,Fighting,French Bread,Aksys Games,2017-07-20,2017-07-20,2017-07-20,under+night+in-birth+exelatest,https://psprices.com/region-us/search/?q=under+night+in-birth+exelatest&platform=PS4&dlc=hide,True,78.0,-0.0010357472128171598,0.08284387321970182,49.99,Action,MedPublishers,MedDevelopers,2017-07-20,2017.0,7.0,20.0,1,0.0,64.30098732744753,Failure
2121,Undertale,Role-playing,Toby Fox,Toby Fox,2017-08-16,2017-08-15,2017-08-15,undertale,https://psprices.com/region-us/search/?q=undertale&platform=PS4&dlc=hide,True,93.0,-0.00027761391431424293,-0.037910040299035566,14.99,RPG,LowPublishers,MedDevelopers,2017-08-15,2017.0,8.0,15.0,0,0.0,84.54404148611961,Failure
2123,Unepic,"Platformer, role-playing",EnjoyUp Games,EnjoyUp Games,2016-03-29,2016-03-29,2016-03-29,unepic,https://psprices.com/region-us/search/?q=unepic&platform=PS4&dlc=hide,True,72.0,0.0,0.0,9.99,Platformer,LowPublishers,LowDevelopers,2016-03-29,2016.0,3.0,29.0,0,0.0,76.90204912502676,Failure
