,Titles,Genres,Developers,Publishers,ReleaseDate_JP,ReleaseDate_EU,ReleaseDate_NA,TitlesHTML,SearchLinks,HistScrapped,Reviews,LogRegSlope,LogRegIntcpt,InitPrice,MappedGenres,MappedPublishers,MappedDevelopers,ReleaseDate_Agg,Release_Year,Release_Month,Release_Day,Success,SuccessPredict,SuccessPredictProb,SuccessPredictText
434,Darksiders: Warmastered Edition,Action role-playing,Nordic Games,Nordic Games,2017-11-24,2016-11-22,2016-11-22,darksiders+warmastered+edition,https://psprices.com/region-us/search/?q=darksiders+warmastered+edition&platform=PS4&dlc=hide,True,78.0,-0.0009836943551995885,0.0794963783824854,19.99,Action,MedPublishers,LowDevelopers,2016-11-22,2016.0,11.0,22.0,0,0.0,79.7012058912848,Failure
435,Darksiders II: Deathinitive Edition,"Action role-playing, hack and slash",Gunfire Games,Nordic Games,2017-10-05,2015-10-27,2015-10-30,darksiders+ii+deathinitive+edition,https://psprices.com/region-us/search/?q=darksiders+ii+deathinitive+edition&platform=PS4&dlc=hide,True,71.0,-0.0007648969715686881,0.03424750194397266,26.99,Action,MedPublishers,MedDevelopers,2015-10-30,2015.0,10.0,30.0,0,0.0,63.782694325669766,Failure
438,Daylight,Survival horror,Zombie Studios,Atlus,2014-08-28,2014-04-30,2014-04-30,daylight,https://psprices.com/region-us/search/?q=daylight&platform=PS4&dlc=hide,True,49.0,-0.0003619038311623782,-0.28414285122770433,14.99,Horror,MedPublishers,LowDevelopers,2014-04-30,2014.0,4.0,30.0,0,0.0,50.16824059991642,Failure
442,DayZ,Survival,Bohemia Interactive,Bohemia Interactive,2019-05-29,2019-05-29,2019-05-29,dayz,https://psprices.com/region-us/search/?q=dayz&platform=PS4&dlc=hide,True,44.0,-0.00034152886117227966,-0.08951995568261288,49.99,Action,LowPublishers,LowDevelopers,2019-05-29,2019.0,5.0,29.0,0,0.0,58.319709068848624,Failure
446,Dead Island Definitive Edition,Survival horror,Techland,Deep Silver,2016-05-31,2016-05-31,2016-05-31,dead+island+definitive+edition,https://psprices.com/region-us/search/?q=dead+island+definitive+edition&platform=PS4&dlc=hide,True,66.0,-0.0010738489758638204,0.010672752268295484,19.99,Horror,MedPublishers,MedDevelopers,2016-05-31,2016.0,5.0,31.0,1,0.0,68.49877910123246,Failure
448,Dead Nation: Apocalypse Edition,Shoot 'em up,Housemarque,Sony Computer Entertainment,2014-05-29,2014-03-05,2014-03-04,dead+nation+apocalypse+edition,https://psprices.com/region-us/search/?q=dead+nation+apocalypse+edition&platform=PS4&dlc=hide,True,70.0,-0.000241004679016106,-0.7328662264583183,14.99,Shooter,HighPublishers,HighDevelopers,2014-03-04,2014.0,3.0,4.0,0,0.0,55.007706701879165,Failure
449,Dead or Alive 5 Last Round,Fighting,Koei Tecmo,Koei Tecmo,2015-02-19,2015-02-20,2015-02-17,dead+or+alive+5+last+round,https://psprices.com/region-us/search/?q=dead+or+alive+5+last+round&platform=PS4&dlc=hide,True,72.0,-0.0007738717673238634,-0.0008091298750103927,39.99,Action,HighPublishers,HighDevelopers,2015-02-17,2015.0,2.0,17.0,0,0.0,52.096499119642495,Failure
450,Dead or Alive 6,Fighting,Koei Tecmo,Koei Tecmo,2019-03-01,2019-03-01,2019-03-01,dead+or+alive+6,https://psprices.com/region-us/search/?q=dead+or+alive+6&platform=PS4&dlc=hide,True,75.0,-0.0004223634008387474,-0.05749236079698214,59.99,Action,HighPublishers,HighDevelopers,2019-03-01,2019.0,3.0,1.0,0,0.0,65.97310606299787,Failure
453,Deadlight: Director's Cut,Survival horror,Tequila Works,Deep Silver,2016-06-21,2016-06-21,2016-06-21,deadlight+directors+cut,https://psprices.com/region-us/search/?q=deadlight+directors+cut&platform=PS4&dlc=hide,True,68.0,-0.001668843198714572,0.008232243543445879,19.99,Horror,MedPublishers,MedDevelopers,2016-06-21,2016.0,6.0,21.0,1,0.0,67.46429915921767,Failure
454,The Deadly Tower of Monsters,Action-adventure,ACE Team,Atlus,2016-01-19,2016-01-19,2016-01-19,the+deadly+tower+of+monsters,https://psprices.com/region-us/search/?q=the+deadly+tower+of+monsters&platform=PS4&dlc=hide,True,71.0,-0.0004444842567548979,0.2639662306797165,9.89,Adventure,MedPublishers,LowDevelopers,2016-01-19,2016.0,1.0,19.0,0,0.0,75.68765285338249,Failure
456,Dead Rising,Survival horror,Capcom,Capcom,2016-08-17,2016-09-13,2016-09-13,dead+rising,https://psprices.com/region-us/search/?q=dead+rising&platform=PS4&dlc=hide,True,71.0,-0.0006999380746644416,-0.10513338575551123,19.99,Horror,HighPublishers,HighDevelopers,2016-09-13,2016.0,9.0,13.0,0,0.0,72.05896289879317,Failure
457,Dead Rising 2,Survival horror,Capcom,Capcom,2016-09-13,2016-09-13,2016-09-13,dead+rising+2,https://psprices.com/region-us/search/?q=dead+rising+2&platform=PS4&dlc=hide,True,81.0,-0.0006776452336594875,-0.10597038540086882,19.99,Horror,HighPublishers,HighDevelopers,2016-09-13,2016.0,9.0,13.0,0,0.0,77.50083746300365,Failure
458,Dead Rising 2: Off the Record,Survival horror,Capcom,Capcom,2016-09-13,2016-09-13,2016-09-13,dead+rising+2+off+the+record,https://psprices.com/region-us/search/?q=dead+rising+2+off+the+record&platform=PS4&dlc=hide,True,77.0,-0.0006786824952466804,-0.10569327194723294,19.99,Horror,HighPublishers,HighDevelopers,2016-09-13,2016.0,9.0,13.0,0,0.0,75.41818879375626,Failure
464,Death Coming,Stratergy,Next Studios,Beijing Spirit Games,2019-04-04,2019-03-12,2019-02-26,death+coming,https://psprices.com/region-us/search/?q=death+coming&platform=PS4&dlc=hide,True,75.0,-0.00020035833592811918,-0.09070071146386122,6.99,Strategy,LowPublishers,MedDevelopers,2019-02-26,2019.0,2.0,26.0,0,0.0,87.58982531421428,Failure
465,Death end re;Quest,Role-playing,Idea Factory,Idea Factory,2018-04-12,2019-02-19,2019-02-22,death+end+re+quest,https://psprices.com/region-us/search/?q=death+end+re+quest&platform=PS4&dlc=hide,True,72.0,-0.00123956119851292,-0.16336649028204742,59.99,RPG,MedPublishers,LowDevelopers,2019-02-22,2019.0,2.0,22.0,1,0.0,70.61666992213691,Failure
472,Decay of Logos,Action role-playing,Amplify Creations,Rising Star Games,2019-08-27,2019-08-27,2019-08-27,decay+of+logos,https://psprices.com/region-us/search/?q=decay+of+logos&platform=PS4&dlc=hide,True,46.0,0.0,0.0,19.99,Action,MedPublishers,LowDevelopers,2019-08-27,2019.0,8.0,27.0,0,0.0,78.69189849738224,Failure
473,Deception IV: The Nightmare Princess,"Action, strategy",Tecmo Koei,Tecmo Koei,2015-03-26,2015-07-17,2015-07-14,deception+iv+the+nightmare+princess,https://psprices.com/region-us/search/?q=deception+iv+the+nightmare+princess&platform=PS4&dlc=hide,True,71.0,-0.00030470993306547136,-0.17989845572340113,49.99,Action,MedPublishers,HighDevelopers,2015-07-14,2015.0,7.0,14.0,0,0.0,54.057417473254766,Failure
481,Demetrios: The Big Cynical Adventure,Point-and-click adventure,CowCat,CowCat,2016-05-31,2016-05-31,2016-05-31,demetrios+the+big+cynical+adventure,https://psprices.com/region-us/search/?q=demetrios+the+big+cynical+adventure&platform=PS4&dlc=hide,True,64.0,-0.0005320478667404111,0.07317439045724862,7.99,Adventure,LowPublishers,MedDevelopers,2016-05-31,2016.0,5.0,31.0,0,0.0,70.59170147883668,Failure
482,Demon Gaze II,Dungeon crawler,Experience,JP: Kadokawa GamesWW: NIS America,2016-10-13,2017-11-14,2017-11-17,demon+gaze+ii,https://psprices.com/region-us/search/?q=demon+gaze+ii&platform=PS4&dlc=hide,True,77.0,-0.0009512283876538797,0.010322730334129601,49.99,RPG,LowPublishers,MedDevelopers,2017-11-17,2017.0,11.0,17.0,0,0.0,61.768139849817274,Failure
492,Detroit: Become Human,Interactive drama,Quantic Dream,Sony Computer Entertainment,2018-05-25,2018-05-25,2018-05-25,detroit+become+human,https://psprices.com/region-us/search/?q=detroit+become+human&platform=PS4&dlc=hide,True,78.0,-0.0010108185719896162,0.11399669016163147,59.99,Adventure,HighPublishers,MedDevelopers,2018-05-25,2018.0,5.0,25.0,1,0.0,59.39957912865199,Failure
493,Deus Ex: Mankind Divided,"First-person shooter, stealth",Eidos Montréal,Square Enix,2017-03-23,2016-08-23,2016-08-23,deus+ex+mankind+divided,https://psprices.com/region-us/search/?q=deus+ex+mankind+divided&platform=PS4&dlc=hide,True,81.0,-0.0010097437640204905,-0.16989672664711947,59.99,Shooter,HighPublishers,MedDevelopers,2016-08-23,2016.0,8.0,23.0,1,1.0,51.70766531471639,Success
495,Devil May Cry HD Collection,"Action-adventure, hack and slash",Capcom,Capcom,2018-03-13,2018-03-13,2018-03-13,devil+may+cry+hd+collection,https://psprices.com/region-us/search/?q=devil+may+cry+hd+collection&platform=PS4&dlc=hide,True,64.0,-0.0006415710753092251,0.044148483804552635,29.99,Action,HighPublishers,HighDevelopers,2018-03-13,2018.0,3.0,13.0,0,0.0,71.90378975487117,Failure
496,Devil May Cry 4: Special Edition,"Action-adventure, hack and slash",Capcom,Capcom,2015-06-18,2015-06-24,2015-06-23,devil+may+cry+4+special+edition,https://psprices.com/region-us/search/?q=devil+may+cry+4+special+edition&platform=PS4&dlc=hide,True,75.0,-0.00029929144490833514,-0.040756360887800935,24.99,Action,HighPublishers,HighDevelopers,2015-06-23,2015.0,6.0,23.0,0,0.0,67.0129234579268,Failure
499,Devious Dungeon 2,Action platformer,Woblyware,Ratalaika Games,2019-07-05,2019-05-15,2019-05-14,devious+dungeon+2,https://psprices.com/region-us/search/?q=devious+dungeon+2&platform=PS4&dlc=hide,True,75.0,-3.1986558102797174e-06,0.06784003730559827,6.39,Platformer,MedPublishers,LowDevelopers,2019-05-14,2019.0,5.0,14.0,0,0.0,90.36477907161375,Failure
504,Digimon Story: Cyber Sleuth,Role-playing,Media.Vision,Bandai Namco,2015-03-21,2016-02-05,2016-02-02,digimon+story+cyber+sleuth,https://psprices.com/region-us/search/?q=digimon+story+cyber+sleuth&platform=PS4&dlc=hide,True,72.0,-9.0804126361807e-05,-0.2280431894807376,59.99,RPG,HighPublishers,MedDevelopers,2016-02-02,2016.0,2.0,2.0,0,1.0,67.7472146512157,Success
505,Digimon Story: Cyber Sleuth – Hacker's Memory,Role-playing,Media.Vision,Bandai Namco Entertainment,2017-08-09,2018-01-19,2018-01-19,digimon+story+cyber+sleuth+–+hackers+memory,https://psprices.com/region-us/search/?q=digimon+story+cyber+sleuth+–+hackers+memory&platform=PS4&dlc=hide,True,72.0,-9.0804126361807e-05,-0.2280431894807376,59.99,RPG,HighPublishers,MedDevelopers,2018-01-19,2018.0,1.0,19.0,0,0.0,50.86420662529536,Failure
507,Digimon World: Next Order,Role-playing,B.B. Studio,Bandai Namco Entertainment,2017-02-16,2017-01-27,2017-01-31,digimon+world+next+order,https://psprices.com/region-us/search/?q=digimon+world+next+order&platform=PS4&dlc=hide,True,69.0,-0.000748755521162125,-0.000980760008662318,59.99,RPG,HighPublishers,HighDevelopers,2017-01-31,2017.0,1.0,31.0,0,0.0,56.154410882722416,Failure
508,Dirt 4,Racing,Codemasters,Codemasters,2017-06-09,2017-06-09,2017-06-09,dirt+4,https://psprices.com/region-us/search/?q=dirt+4&platform=PS4&dlc=hide,True,83.0,-0.0006969300636462592,-0.05802482702044654,59.99,Sports,MedPublishers,HighDevelopers,2017-06-09,2017.0,6.0,9.0,0,0.0,68.10977749059234,Failure
514,Disgaea 1 Complete,Tactical role-playing,Nippon Ichi Software,Nippon Ichi Software,2018-07-26,2018-10-12,2018-10-09,disgaea+1+complete,https://psprices.com/region-us/search/?q=disgaea+1+complete&platform=PS4&dlc=hide,True,79.0,-0.00037794041414552707,-0.0772512610835542,49.99,Action,MedPublishers,HighDevelopers,2018-10-09,2018.0,10.0,9.0,0,0.0,78.11151691144018,Failure
516,Disgaea 5 Complete,Tactical role-playing,Nippon Ichi Software,Nippon Ichi Software,2015-03-26,2015-10-16,2015-10-06,disgaea+5+complete,https://psprices.com/region-us/search/?q=disgaea+5+complete&platform=PS4&dlc=hide,True,84.0,-0.00034358590487272404,-0.07700706535300875,39.99,Action,MedPublishers,HighDevelopers,2015-10-06,2015.0,10.0,6.0,0,0.0,67.92992969105984,Failure
517,Dishonored: Definitive Edition,Action,Arkane Studios,Bethesda Softworks,2015-08-27,2015-08-28,2015-08-25,dishonored+definitive+edition,https://psprices.com/region-us/search/?q=dishonored+definitive+edition&platform=PS4&dlc=hide,True,77.0,-0.0015322544914005598,-0.18778102521149398,39.99,Action,HighPublishers,MedDevelopers,2015-08-25,2015.0,8.0,25.0,1,0.0,50.97263914738478,Failure
518,Dishonored 2,Action,Arkane Studios,Bethesda Softworks,2016-11-11,2016-11-11,2016-11-11,dishonored+2,https://psprices.com/region-us/search/?q=dishonored+2&platform=PS4&dlc=hide,True,85.0,-0.0013296815283477294,-0.1247705709844527,59.99,Action,HighPublishers,MedDevelopers,2016-11-11,2016.0,11.0,11.0,1,1.0,50.90975967711632,Success
519,Dishonored: Death of the Outsider,Action,Arkane Studios,Bethesda Softworks,2017-09-15,2017-09-15,2017-09-15,dishonored+death+of+the+outsider,https://psprices.com/region-us/search/?q=dishonored+death+of+the+outsider&platform=PS4&dlc=hide,True,81.0,-0.0004573842934798931,-0.11441108768067416,29.99,Action,HighPublishers,MedDevelopers,2017-09-15,2017.0,9.0,15.0,0,0.0,70.55886949433517,Failure
525,Dissidia Final Fantasy NT,Fighting,Team Ninja,Square Enix,2018-01-11,2018-01-30,2018-01-30,dissidia+final+fantasy+nt,https://psprices.com/region-us/search/?q=dissidia+final+fantasy+nt&platform=PS4&dlc=hide,True,67.0,-0.0016098730504774245,-0.06940689059820859,59.99,Action,HighPublishers,MedDevelopers,2018-01-30,2018.0,1.0,30.0,1,0.0,50.797159035122355,Failure
530,Divinity: Original Sin,Role-playing,Larian Studios,Focus Home Interactive,2016-04-14,2015-10-27,2015-10-27,divinity+original+sin,https://psprices.com/region-us/search/?q=divinity+original+sin&platform=PS4&dlc=hide,True,87.0,-0.0005250758497592715,-0.19074731652092106,59.99,RPG,HighPublishers,MedDevelopers,2015-10-27,2015.0,10.0,27.0,0,1.0,52.15126948679591,Success
531,Divinity: Original Sin II,Role-playing,Larian Studios,Larian Studios,2019-10-31,2018-08-31,2018-08-31,divinity+original+sin+ii,https://psprices.com/region-us/search/?q=divinity+original+sin+ii&platform=PS4&dlc=hide,True,87.0,-0.00020786642854013634,-0.17499349465798208,59.99,RPG,LowPublishers,MedDevelopers,2018-08-31,2018.0,8.0,31.0,0,0.0,71.61489731612423,Failure
532,DJMax Respect,"Music, rhythm",Rocky Studio,JP: Arc System WorksWW: Neowiz Games,2017-11-09,2018-03-17,2018-03-06,djmax+respect,https://psprices.com/region-us/search/?q=djmax+respect&platform=PS4&dlc=hide,True,86.0,0.0,0.0,49.99,Platformer,LowPublishers,LowDevelopers,2018-03-06,2018.0,3.0,6.0,0,0.0,71.43554931190693,Failure
534,Dogos,Shooter,Opqam,Opqam,2016-12-16,2016-09-06,2016-09-06,dogos,https://psprices.com/region-us/search/?q=dogos&platform=PS4&dlc=hide,True,61.0,-0.000901514365608593,-0.07983315223469878,11.99,Shooter,LowPublishers,LowDevelopers,2016-09-06,2016.0,9.0,6.0,0,0.0,66.39414571143664,Failure
535,Doki-Doki Universe,Adventure,HumaNature Studios,HumaNature Studios,2014-02-22,2013-12-10,2013-12-10,doki-doki+universe,https://psprices.com/region-us/search/?q=doki-doki+universe&platform=PS4&dlc=hide,True,66.0,-0.0006942226603118596,-0.19878551639022435,14.99,Adventure,LowPublishers,MedDevelopers,2013-12-10,2013.0,12.0,10.0,0,1.0,55.32518117088144,Success
536,Donut County,Puzzle,Ben Esposito,Annapurna Interactive,2018-08-28,2018-08-28,2018-08-28,donut+county,https://psprices.com/region-us/search/?q=donut+county&platform=PS4&dlc=hide,True,80.0,-0.0012421444096219528,0.014370873836403744,12.99,Puzzle,MedPublishers,LowDevelopers,2018-08-28,2018.0,8.0,28.0,1,0.0,89.87676802225249,Failure
540,Don't Starve Together,Action-adventure,Klei EntertainmentBlitWorks,Klei Entertainment,2017-09-13,2017-09-13,2017-09-13,dont+starve+together,https://psprices.com/region-us/search/?q=dont+starve+together&platform=PS4&dlc=hide,True,76.0,-0.0005082948662167301,-0.006413677711060867,14.99,Adventure,LowPublishers,LowDevelopers,2017-09-13,2017.0,9.0,13.0,0,0.0,80.57694264007569,Failure
544,Doom,First-person shooter,id Software,Bethesda Softworks,2016-05-13,2016-05-13,2016-05-13,doom,https://psprices.com/region-us/search/?q=doom&platform=PS4&dlc=hide,True,85.0,-0.0011718562886420419,-0.010962429304660688,59.99,Shooter,HighPublishers,HighDevelopers,2016-05-13,2016.0,5.0,13.0,1,0.0,57.01424495430813,Failure
551,Downwell,"Platform, vertically scrolling shooter",Moppin,Devolver Digital,2016-05-24,2016-05-24,2016-05-24,downwell,https://psprices.com/region-us/search/?q=downwell&platform=PS4&dlc=hide,True,82.0,-0.00014893375337467804,-0.23485804858753234,4.99,Platformer,HighPublishers,LowDevelopers,2016-05-24,2016.0,5.0,24.0,0,0.0,81.1701844810509,Failure
552,Dragon Age: Inquisition,Role-playing,BioWare,Electronic Arts,2014-11-27,2014-11-21,2014-11-18,dragon+age+inquisition,https://psprices.com/region-us/search/?q=dragon+age+inquisition&platform=PS4&dlc=hide,True,87.0,-0.0023746575229347216,0.21445821116984964,69.99,RPG,HighPublishers,MedDevelopers,2014-11-18,2014.0,11.0,18.0,1,1.0,67.10453636970337,Success
553,Dragon Ball FighterZ,Fighting,Arc System Works,Bandai Namco Entertainment,2018-02-01,2018-01-26,2018-01-26,dragon+ball+fighterz,https://psprices.com/region-us/search/?q=dragon+ball+fighterz&platform=PS4&dlc=hide,True,86.0,-0.0010493004424631685,0.04826155036188451,59.99,Action,HighPublishers,HighDevelopers,2018-01-26,2018.0,1.0,26.0,1,0.0,72.4195366545966,Failure
554,Dragon Ball Xenoverse,Fighting,Dimps,Bandai Namco Entertainment,2015-02-05,2015-02-13,2015-02-24,dragon+ball+xenoverse,https://psprices.com/region-us/search/?q=dragon+ball+xenoverse&platform=PS4&dlc=hide,True,71.0,-0.0018156493154835207,-0.07598026359060553,59.99,Action,HighPublishers,MedDevelopers,2015-02-24,2015.0,2.0,24.0,1,1.0,68.51500556769278,Success
555,Dragon Ball Xenoverse 2,Fighting,Dimps,Bandai Namco Entertainment,2016-11-02,2016-10-28,2016-10-25,dragon+ball+xenoverse+2,https://psprices.com/region-us/search/?q=dragon+ball+xenoverse+2&platform=PS4&dlc=hide,True,73.0,-0.0006860584121099775,-0.025337876556334484,59.99,Action,HighPublishers,MedDevelopers,2016-10-25,2016.0,10.0,25.0,0,1.0,55.64189623747136,Success
559,Dragon Fin Soup,"Role-playing, roguelike",Grimm Bros,Grimm Bros,2015-12-02,2015-11-03,2015-11-03,dragon+fin+soup,https://psprices.com/region-us/search/?q=dragon+fin+soup&platform=PS4&dlc=hide,True,40.0,0.0,0.0,19.99,RPG,LowPublishers,LowDevelopers,2015-11-03,2015.0,11.0,3.0,0,1.0,59.95886016990308,Success
560,Dragon's Crown Pro,"Action role-playing, beat 'em up",Vanillaware,Atlus,2018-02-08,2018-05-15,2018-05-15,dragons+crown+pro,https://psprices.com/region-us/search/?q=dragons+crown+pro&platform=PS4&dlc=hide,True,80.0,-0.002110766719559386,0.2174980595790116,49.99,Action,MedPublishers,MedDevelopers,2018-05-15,2018.0,5.0,15.0,1,0.0,69.52646658805406,Failure
561,Dragon Quest Builders,"Role-playing, sandbox",Square Enix,Square Enix,2016-01-28,2016-10-14,2016-10-11,dragon+quest+builders,https://psprices.com/region-us/search/?q=dragon+quest+builders&platform=PS4&dlc=hide,True,83.0,-0.0002608855870967415,-0.13457183778669057,59.99,RPG,HighPublishers,HighDevelopers,2016-10-11,2016.0,10.0,11.0,0,0.0,57.86517871041175,Failure
562,Dragon Quest Builders 2,Role-playing,Square Enix,Square Enix,2018-12-20,2019-07-12,2019-07-12,dragon+quest+builders+2,https://psprices.com/region-us/search/?q=dragon+quest+builders+2&platform=PS4&dlc=hide,True,80.0,-0.00023962993827848406,-0.06953064870044776,59.99,RPG,HighPublishers,HighDevelopers,2019-07-12,2019.0,7.0,12.0,0,0.0,73.95535002528355,Failure
567,Dragon's Dogma: Dark Arisen,Action role-playing,Capcom,Capcom,2017-10-05,2017-10-03,2017-10-03,dragons+dogma+dark+arisen,https://psprices.com/region-us/search/?q=dragons+dogma+dark+arisen&platform=PS4&dlc=hide,True,80.0,-2.3532960708504033e-05,-0.09307128350252902,29.99,Action,HighPublishers,HighDevelopers,2017-10-03,2017.0,10.0,3.0,0,0.0,75.93463248936443,Failure
568,Dragon Star Varnir,Role-playing,Compile Heart,NA: Idea FactoryEU: Reef,2018-10-11,2019-06-14,2019-06-11,dragon+star+varnir,https://psprices.com/region-us/search/?q=dragon+star+varnir&platform=PS4&dlc=hide,True,77.0,0.00021276910778038875,-0.267169415231341,59.99,RPG,LowPublishers,HighDevelopers,2019-06-11,2019.0,6.0,11.0,0,0.0,74.19401373468177,Failure
583,Dungeons 2,Strategy,Realmforge Studios,Kalypso Media,2017-02-16,2016-05-27,2016-05-24,dungeons+2,https://psprices.com/region-us/search/?q=dungeons+2&platform=PS4&dlc=hide,True,68.0,-0.0021344916201467994,-0.4006562977394269,59.99,Strategy,MedPublishers,MedDevelopers,2016-05-24,2016.0,5.0,24.0,1,1.0,55.75048104716285,Success
584,Dungeons 3,Strategy,Realmforge Studios,Kalypso Media,2018-05-31,2017-10-13,2017-10-17,dungeons+3,https://psprices.com/region-us/search/?q=dungeons+3&platform=PS4&dlc=hide,True,74.0,-0.0009545284277550926,-0.03867468519853348,49.99,Strategy,MedPublishers,MedDevelopers,2017-10-17,2017.0,10.0,17.0,0,0.0,62.36472408871455,Failure
590,Dying Light,"Action role-playing, survival horror",Techland,WB Games,2015-04-16,2015-01-30,2015-01-27,dying+light,https://psprices.com/region-us/search/?q=dying+light&platform=PS4&dlc=hide,True,73.0,-0.0014439901704731088,0.05306169188545813,59.99,Horror,HighPublishers,MedDevelopers,2015-01-27,2015.0,1.0,27.0,1,1.0,66.92125120876355,Success
592,Dynasty Warriors 8: Empires,Hack and slash,Omega Force,Tecmo Koei,2014-11-20,2015-01-30,2015-01-30,dynasty+warriors+8+empires,https://psprices.com/region-us/search/?q=dynasty+warriors+8+empires&platform=PS4&dlc=hide,True,67.0,-0.00030510328826600507,-0.1670997906234108,49.99,Action,MedPublishers,HighDevelopers,2015-01-30,2015.0,1.0,30.0,0,0.0,52.77844110967261,Failure
593,Dynasty Warriors 8: Xtreme Legends Complete Edition,Action role-playing,Omega Force,Tecmo Koei,2014-02-22,2014-04-04,2014-03-25,dynasty+warriors+8+xtreme+legends+complete+edition,https://psprices.com/region-us/search/?q=dynasty+warriors+8+xtreme+legends+complete+edition&platform=PS4&dlc=hide,True,72.0,-0.0002686384150911784,-0.3156362926947091,59.99,Action,MedPublishers,HighDevelopers,2014-03-25,2014.0,3.0,25.0,0,1.0,57.3341936463799,Success
595,Dynasty Warriors: Godseekers,Tactical role-playing,Omega Force,Tecmo Koei,2016-08-03,2017-02-01,2017-01-31,dynasty+warriors+godseekers,https://psprices.com/region-us/search/?q=dynasty+warriors+godseekers&platform=PS4&dlc=hide,True,69.0,-0.00022057985469816683,-0.14567736238489307,59.99,Action,MedPublishers,HighDevelopers,2017-01-31,2017.0,1.0,31.0,0,0.0,62.695372992209485,Failure
601,Earthfall,First-person shooter,Holospark Games,Holospark Games,2019-07-23,2018-07-13,2018-07-13,earthfall,https://psprices.com/region-us/search/?q=earthfall&platform=PS4&dlc=hide,True,58.0,-0.0011229405219707834,-0.08422756237852434,29.99,Shooter,LowPublishers,LowDevelopers,2018-07-13,2018.0,7.0,13.0,1,0.0,68.54887129544939,Failure
602,Earthlock: Festival of Magic,Role-playing,Snowcastle Games,Snowcastle Games,2017-01-27,2017-01-27,2017-01-27,earthlock+festival+of+magic,https://psprices.com/region-us/search/?q=earthlock+festival+of+magic&platform=PS4&dlc=hide,True,68.0,-0.0006771550059608207,-0.022370804688898016,29.99,RPG,LowPublishers,LowDevelopers,2017-01-27,2017.0,1.0,27.0,0,0.0,69.35142035304307,Failure
603,EA Sports UFC,"Fighting, sports",EA Canada,Electronic Arts,2014-11-20,2014-06-17,2014-06-17,ea+sports+ufc,https://psprices.com/region-us/search/?q=ea+sports+ufc&platform=PS4&dlc=hide,True,68.0,-0.0015916147633641769,-0.1327710965947495,44.99,Sports,HighPublishers,HighDevelopers,2014-06-17,2014.0,6.0,17.0,1,1.0,58.64819588531631,Success
604,EA Sports UFC 2,"Fighting, sports",EA Canada,Electronic Arts,2016-08-30,2016-03-17,2016-03-15,ea+sports+ufc+2,https://psprices.com/region-us/search/?q=ea+sports+ufc+2&platform=PS4&dlc=hide,True,77.0,-0.0018661729976896827,0.13211737479069885,59.99,Sports,HighPublishers,HighDevelopers,2016-03-15,2016.0,3.0,15.0,1,0.0,50.73272493901084,Failure
605,EA Sports UFC 3,"Fighting, sports",EA Canada,Electronic Arts,2018-02-02,2018-02-02,2018-02-02,ea+sports+ufc+3,https://psprices.com/region-us/search/?q=ea+sports+ufc+3&platform=PS4&dlc=hide,True,77.0,-0.0019178215907054083,0.2179075257150253,59.99,Sports,HighPublishers,HighDevelopers,2018-02-02,2018.0,2.0,2.0,1,0.0,60.31747909844019,Failure
614,The Elder Scrolls Online,MMORPG,ZeniMax Online Studios,Bethesda Softworks,2015-06-09,2015-06-09,2015-06-09,the+elder+scrolls+online,https://psprices.com/region-us/search/?q=the+elder+scrolls+online&platform=PS4&dlc=hide,True,69.0,-0.0030173779078040857,0.36006602173996116,59.99,RPG,HighPublishers,LowDevelopers,2015-06-09,2015.0,6.0,9.0,1,1.0,67.18746996134972,Success
615,The Elder Scrolls V: Skyrim – Special Edition,Action role-playing,Bethesda Game Studios,Bethesda Softworks,2016-10-28,2016-10-28,2016-10-28,the+elder+scrolls+v+skyrim+–+special+edition,https://psprices.com/region-us/search/?q=the+elder+scrolls+v+skyrim+–+special+edition&platform=PS4&dlc=hide,True,80.0,-0.0011669171490507296,-0.0824284188399029,59.99,Action,HighPublishers,MedDevelopers,2016-10-28,2016.0,10.0,28.0,1,0.0,50.367236391312545,Failure
618,Elliot Quest,"Platform-adventure, metroidvania",Ansimuz Games,Ansimuz Games,2017-05-11,2017-05-11,2017-05-11,elliot+quest,https://psprices.com/region-us/search/?q=elliot+quest&platform=PS4&dlc=hide,True,72.0,0.0,0.0,14.99,Platformer,LowPublishers,LowDevelopers,2017-05-11,2017.0,5.0,11.0,0,0.0,76.60868918546898,Failure
621,Emily Wants to Play,Survival horror,Shawn Hitchcock,SKH Apps,2017-02-09,2016-08-09,2016-08-09,emily+wants+to+play,https://psprices.com/region-us/search/?q=emily+wants+to+play&platform=PS4&dlc=hide,True,75.0,-0.0027270989931404447,0.020615329190589407,4.99,Horror,LowPublishers,LowDevelopers,2016-08-09,2016.0,8.0,9.0,1,0.0,78.10533052733996,Failure
628,Enter the Gungeon,Bullet hellroguelike,Dodge Roll,Devolver Digital,2016-04-20,2016-04-05,2016-04-05,enter+the+gungeon,https://psprices.com/region-us/search/?q=enter+the+gungeon&platform=PS4&dlc=hide,True,84.0,-0.00028649749113373885,-0.02596575479933751,13.49,Action,HighPublishers,LowDevelopers,2016-04-05,2016.0,4.0,5.0,0,0.0,73.9371999950323,Failure
