,Titles,Genres,Developers,Publishers,ReleaseDate_JP,ReleaseDate_EU,ReleaseDate_NA,TitlesHTML,SearchLinks,HistScrapped,Reviews,LogRegSlope,LogRegIntcpt,InitPrice,MappedGenres,MappedPublishers,MappedDevelopers,ReleaseDate_Agg,Release_Year,Release_Month,Release_Day,Success
1811,Snooker 19,Sports,Lab42,Ripstone,,2019-04-17,2019-04-16,snooker+19,https://psprices.com/region-us/search/?q=snooker+19&platform=PS4&dlc=hide,True,,,,,Sports,MedPublishers,LowDevelopers,2019-04-16,2019.0,4.0,16.0,1
1812,Snooker Nation Championship,Sports,Cherry Pop Games,Cherry Pop Games,,2019-04-17,2019-04-16,snooker+nation+championship,https://psprices.com/region-us/search/?q=snooker+nation+championship&platform=PS4&dlc=hide,True,,,,,Sports,LowPublishers,MedDevelopers,2019-04-16,2019.0,4.0,16.0,1
1813,Snow Moto Racing Freedom,Racing,Zordix,Zordix,,2017-04-11,2017-04-11,snow+moto+racing+freedom,https://psprices.com/region-us/search/?q=snow+moto+racing+freedom&platform=PS4&dlc=hide,True,49.0,-0.0010407273620621851,0.30214320899582986,19.79,Sports,LowPublishers,MedDevelopers,2017-04-11,2017.0,4.0,11.0,1
1814,Sociable Soccer,Sports,Jon Hare,Combo-Breaker,,,,sociable+soccer,https://psprices.com/region-us/search/?q=sociable+soccer&platform=PS4&dlc=hide,False,,,,,Sports,LowPublishers,LowDevelopers,,,,,1
1815,"Soldam: Drop, Connect, Erase",Puzzle,City Connection,City Connection,2019-07-25,,,soldam+drop+connect+erase,https://psprices.com/region-us/search/?q=soldam+drop+connect+erase&platform=PS4&dlc=hide,False,,,,,Puzzle,LowPublishers,MedDevelopers,2019-07-25,2019.0,7.0,25.0,1
1816,The Sojourn,Adventurepuzzle,Shifting Tides,Iceberg Interactive,,2019-09-20,2019-09-20,the+sojourn,https://psprices.com/region-us/search/?q=the+sojourn&platform=PS4&dlc=hide,True,,,,,Puzzle,MedPublishers,LowDevelopers,2019-09-20,2019.0,9.0,20.0,1
1817,Solitaire,Card & board,Sanuk Games,Bigben Interactive,,2016-10-11,2016-10-11,solitaire,https://psprices.com/region-us/search/?q=solitaire&platform=PS4&dlc=hide,True,,,,,Puzzle,HighPublishers,MedDevelopers,2016-10-11,2016.0,10.0,11.0,1
1818,The Solus Project,"Adventure, survival",Teotl Studios,Grip Games,,2017-09-18,2017-09-18,the+solus+project,https://psprices.com/region-us/search/?q=the+solus+project&platform=PS4&dlc=hide,True,63.0,-0.0011570184580131336,-0.04273514909663939,19.99,Adventure,MedPublishers,LowDevelopers,2017-09-18,2017.0,9.0,18.0,1
1819,So Many Me,Platformerpuzzle,Extend Int,Origo Games,2017-07-20,2017-02-14,2017-02-06,so+many+me,https://psprices.com/region-us/search/?q=so+many+me&platform=PS4&dlc=hide,True,79.0,-0.0005451843971454389,-0.004236984251831097,14.99,Puzzle,LowPublishers,LowDevelopers,2017-02-06,2017.0,2.0,6.0,0
1820,Soma,Survival horror,Frictional Games,Frictional Games,,2015-09-22,2015-09-22,soma,https://psprices.com/region-us/search/?q=soma&platform=PS4&dlc=hide,True,82.0,-0.0009379044722165771,-0.025952969376517424,29.99,Horror,LowPublishers,MedDevelopers,2015-09-22,2015.0,9.0,22.0,0
1821,Songbird Symphony,Platformer,Joysteak Studios,PQube,,2019-07-25,2019-07-25,songbird+symphony,https://psprices.com/region-us/search/?q=songbird+symphony&platform=PS4&dlc=hide,True,81.0,-0.00012068420211397131,-0.12207278837700831,16.99,Platformer,MedPublishers,LowDevelopers,2019-07-25,2019.0,7.0,25.0,0
